Number,Rank,birthday,Sex,Age,Tall,Weight,BloodType,Win_rate,Wins_rate,1st_num,2nd_num,Runs_num,Yusyutu_num,Champ_num,ST_mean,Course1_entry_num,Course1_Wins_rate,Course1_ST_mean,Course1_Start_Rank,Course2_entry_num,Course2_Wins_rate,Course2_ST_mean,Course2_Start_Rank,Course3_entry_num,Course3_Wins_rate,Course3_ST_mean,Course3_Start_Rank,Course4_entry_num,Course4_Wins_rate,Course4_ST_mean,Course4_Start_Rank,Course5_entry_num,Course5_Wins_rate,Course5_ST_mean,Course5_Start_Rank,Course6_entry_num,Course6_Wins_rate,Course6_ST_mean,Course6_Start_Rank,bef_Rank,bef_bef_Rank,bef_bef_bef_Rank,bef_Capavility_index,Now_Capability_index,Year,Period,CalcurationPeriod1,CalcurationPeriod2,GraduatePeriod,Course1_1st_num,Course1_2nd_num,Course1_3rd_num,Course1_4th_num,Course1_5th_num,Course1_6th_num,Course1_F_num,Course1_L0_num,Course1_L1_num,Course1_K0_num,Course1_K1_num,Course1_S0_num,Course1_S1_num,Course1_S2_num,Course2_1st_num,Course2_2nd_num,Course2_3rd_num,Course2_4th_num,Course2_5th_num,Course2_6th_num,Course2_F_num,Course2_L0_num,Course2_L1_num,Course2_K0_num,Course2_K1_num,Course2_S0_num,Course2_S1_num,Course2_S2_num,Course3_1st_num,Course3_2nd_num,Course3_3rd_num,Course3_4th_num,Course3_5th_num,Course3_6th_num,Course3_F_num,Course3_L0_num,Course3_L1_num,Course3_K0_num,Course3_K1_num,Course3_S0_num,Course3_S1_num,Course3_S2_num,Course4_1st_num,Course4_2nd_num,Course4_3rd_num,Course4_4th_num,Course4_5th_num,Course4_6th_num,Course4_F_num,Course4_L0_num,Course4_L1_num,Course4_K0_num,Course4_K1_num,Course4_S0_num,Course4_S1_num,Course4_S2_num,Course5_1st_num,Course5_2nd_num,Course5_3rd_num,Course5_4th_num,Course5_5th_num,Course5_6th_num,Course5_F_num,Course5_L0_num,Course5_L1_num,Course5_K0_num,Course5_K1_num,Course5_S0_num,Course5_S1_num,Course5_S2_num,Course6_1st_num,Course6_2nd_num,Course6_3rd_num,Course6_4th_num,Course6_5th_num,Course6_6th_num,Course6_F_num,Course6_L0_num,Course6_L1_num,Course6_K0_num,Course6_K1_num,Course6_S0_num,Course6_S1_num,Course6_S2_num
3036,B1,S330410,1,62,163,59,B ,4.51,2.56,6,15,82,0,0,0.17,13,4.62,0.19,3.3,14,2.14,0.16,3,16,4.38,0.19,3.4,13,3.08,0.15,3.1,15,0.67,0.16,2.6,11,0,0.17,3.7,B1,B1,B1,47,47,2020,2,20191101,20200430,50,3,3,2,3,1,1,0,0,0,0,0,0,0,0,1,2,5,2,1,3,0,0,0,0,0,0,0,0,2,5,0,2,4,3,0,0,0,0,0,0,0,0,0,4,0,5,1,3,0,0,0,0,0,0,0,0,0,1,6,4,1,2,1,0,0,0,0,0,0,0,0,0,1,0,4,6,0,0,0,0,0,0,0,0
3044,B1,S351113,1,59,167,59,A ,4.91,3.17,14,19,104,0,0,0.17,16,7.5,0.16,2.4,18,5.56,0.17,3.3,17,0.59,0.17,3.9,17,3.53,0.15,3.2,20,1.5,0.14,3.1,16,0.63,0.21,4,B1,B1,B1,49,48,2020,2,20191101,20200430,50,10,2,1,0,3,0,0,0,0,0,0,0,0,0,0,10,2,3,1,2,0,0,0,0,0,0,0,0,1,0,4,3,6,3,0,0,0,0,0,0,0,0,1,5,4,2,3,2,0,0,0,0,0,0,0,0,1,2,3,5,7,2,0,0,0,0,0,0,0,0,1,0,2,2,4,6,1,0,0,0,0,0,0,0
3051,B1,S371124,1,57,167,52,O ,3.98,1.87,5,10,80,0,0,0.17,10,5,0.14,2.1,18,2.78,0.19,4.1,8,2.5,0.18,3.1,13,0.77,0.2,3.2,12,1.67,0.16,3.3,18,0,0.16,3.4,B1,B1,B1,47,44,2020,2,20191101,20200430,50,3,2,0,2,1,1,0,0,0,0,0,0,1,0,0,5,3,4,2,4,0,0,0,0,0,0,0,0,1,1,2,1,0,3,0,0,0,0,0,0,0,0,0,1,3,2,5,2,0,0,0,0,0,0,0,0,1,1,1,1,2,6,0,0,0,0,0,0,0,0,0,0,4,5,5,4,0,0,0,0,0,0,0,0
3052,B1,S371212,1,57,161,54,B ,3.94,1.55,5,9,90,0,0,0.19,14,5.71,0.13,2.7,18,1.67,0.19,4.1,18,0,0.17,3.9,15,1.33,0.21,4.2,17,0,0.21,4.5,8,1.25,0.22,5,B1,B1,B1,44,46,2020,2,20191101,20200430,50,5,3,1,2,3,0,0,0,0,0,0,0,0,0,0,3,5,4,3,3,0,0,0,0,0,0,0,0,0,0,4,7,4,3,0,0,0,0,0,0,0,0,0,2,3,1,7,2,0,0,0,0,0,0,0,0,0,0,0,4,9,4,0,0,0,0,0,0,0,0,0,1,1,2,1,3,0,0,0,0,0,0,0,0
3054,A2,S380112,1,57,165,58,A ,6.15,4.78,18,26,92,2,0,0.17,18,8.89,0.16,3.6,17,4.71,0.14,2.7,13,3.08,0.13,2.1,18,5,0.17,3.3,14,3.57,0.18,3.6,13,1.54,0.22,4.8,B1,A2,A1,47,51,2020,2,20191101,20200430,50,10,6,0,1,0,0,1,0,0,0,0,0,0,0,3,5,4,2,1,0,0,0,0,0,0,1,1,0,0,4,3,3,1,1,0,0,0,0,0,0,0,1,2,7,3,4,0,2,0,0,0,0,0,0,0,0,3,2,3,2,0,4,0,0,0,0,0,0,0,0,0,2,3,3,2,3,0,0,0,0,0,0,0,0
3058,B1,S320905,1,62,166,57,O ,4.36,2.63,5,19,91,0,0,0.2,12,4.17,0.16,3.1,29,2.76,0.19,4.2,20,2,0.21,3.8,22,3.18,0.21,4.1,6,0,0.24,4,2,0,0.26,4.5,B1,B1,B1,45,46,2020,2,20191101,20200430,51,3,2,3,0,3,1,0,0,0,0,0,0,0,0,2,6,3,6,7,3,1,0,0,0,0,0,0,1,0,4,2,5,6,2,0,0,0,0,0,0,1,0,0,7,3,3,4,5,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
3064,A2,S341117,1,60,162,52,O ,5.51,4.04,25,13,94,0,0,0.17,19,7.37,0.17,3.4,18,3.89,0.16,3.1,19,1.05,0.16,3.1,23,4.78,0.17,3.1,10,3,0.16,2.7,5,2,0.21,4.8,B1,A2,B1,49,51,2020,2,20191101,20200430,51,11,3,1,2,0,2,0,0,0,0,0,0,0,0,2,5,3,0,4,4,0,0,0,0,0,0,0,0,2,0,3,4,4,6,0,0,0,0,0,0,0,0,8,3,2,4,4,2,0,0,0,0,0,0,0,0,2,1,1,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0
3065,B1,S341206,1,60,166,55,A ,5.07,2.05,10,14,117,0,0,0.21,19,3.16,0.23,4.1,24,3.33,0.23,4.8,14,1.43,0.17,3.2,26,2.31,0.18,3,22,0.91,0.25,4.2,13,0,0.2,4.4,B1,B1,B1,47,50,2020,2,20191101,20200430,51,3,3,6,3,3,1,0,0,0,0,0,0,0,0,3,5,9,3,4,0,0,0,0,0,0,0,0,0,0,2,4,7,1,0,0,0,0,0,0,0,0,0,4,2,7,4,7,1,0,0,0,0,0,1,0,0,0,2,5,7,7,1,0,0,0,0,0,0,0,0,0,0,5,4,2,2,0,0,0,0,0,0,0,0
3066,B1,S350217,1,60,158,54,A ,4.61,2.94,7,21,95,1,0,0.2,19,5.79,0.2,3.5,29,3.45,0.2,4.1,22,0.91,0.2,4,12,4.17,0.2,3.4,7,0,0.28,4.9,6,0,0.16,4,B1,B1,B1,46,47,2020,2,20191101,20200430,51,5,6,2,2,2,2,0,0,0,0,0,0,0,0,1,9,5,7,3,4,0,0,0,0,0,0,0,0,0,2,2,5,8,5,0,0,0,0,0,0,0,0,1,4,1,1,3,2,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0
3070,A2,S360608,1,59,169,51,A ,5.87,4.57,23,26,107,1,0,0.17,25,8.4,0.14,2.2,22,3.18,0.19,3.3,27,3.33,0.17,3.2,26,4.23,0.17,3.6,6,1.67,0.21,4.3,2,0,0.23,5.5,A1,A1,A2,55,51,2020,2,20191101,20200430,51,13,8,1,0,0,2,0,0,0,0,0,1,0,0,4,3,3,5,3,4,0,0,0,0,0,0,0,0,3,6,6,5,4,2,1,0,0,0,0,0,0,0,2,9,2,5,6,2,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
